product_abstract_sku,store_name
001,DE
002,DE
003,DE
004,DE
005,DE
006,DE
007,DE
008,DE
009,DE
010,DE
011,DE
012,DE
013,DE
014,DE
015,DE
016,DE
017,DE
018,DE
019,DE
020,DE
021,DE
022,DE
023,DE
024,DE
025,DE
026,DE
027,DE
028,DE
029,DE
030,DE
031,DE
032,DE
033,DE
034,DE
035,DE
036,DE
037,DE
038,DE
039,DE
040,DE
041,DE
042,DE
043,DE
044,DE
045,DE
046,DE
047,DE
048,DE
049,DE
050,DE
051,DE
052,DE
053,DE
054,DE
055,DE
056,DE
057,DE
058,DE
059,DE
060,DE
061,DE
062,DE
063,DE
064,DE
065,DE
066,DE
067,DE
068,DE
069,DE
070,DE
071,DE
072,DE
073,DE
074,DE
075,DE
076,DE
077,DE
078,DE
079,DE
080,DE
081,DE
082,DE
083,DE
084,DE
085,DE
086,DE
087,DE
088,DE
089,DE
090,DE
091,DE
092,DE
093,DE
094,DE
095,DE
096,DE
097,DE
098,DE
099,DE
100,DE
101,DE
102,DE
103,DE
104,DE
105,DE
106,DE
107,DE
108,DE
109,DE
110,DE
111,DE
112,DE
113,DE
114,DE
115,DE
116,DE
117,DE
118,DE
119,DE
120,DE
121,DE
122,DE
123,DE
124,DE
125,DE
126,DE
127,DE
128,DE
129,DE
130,DE
131,DE
132,DE
133,DE
134,DE
135,DE
136,DE
137,DE
138,DE
139,DE
140,DE
141,DE
142,DE
143,DE
144,DE
145,DE
146,DE
147,DE
148,DE
149,DE
150,DE
151,DE
152,DE
153,DE
154,DE
155,DE
156,DE
157,DE
158,DE
159,DE
160,DE
161,DE
162,DE
163,DE
164,DE
165,DE
166,DE
167,DE
168,DE
169,DE
170,DE
171,DE
172,DE
173,DE
174,DE
175,DE
176,DE
177,DE
178,DE
179,DE
180,DE
181,DE
182,DE
183,DE
184,DE
185,DE
186,DE
187,DE
188,DE
189,DE
190,DE
191,DE
192,DE
193,DE
194,DE
195,DE
196,DE
197,DE
198,DE
199,DE
200,DE
201,DE
202,DE
203,DE
204,DE
205,DE
206,DE
207,DE
208,DE
209,DE
210,DE
211,DE
212,DE
213,DE
214,DE
001,US
002,US
003,US
004,US
005,US
006,US
007,US
008,US
009,US
010,US
011,US
012,US
013,US
014,US
015,US
016,US
017,US
018,US
019,US
020,US
021,US
022,US
023,US
024,US
025,US
026,US
027,US
028,US
029,US
030,US
031,US
032,US
033,US
034,US
035,US
036,US
037,US
038,US
039,US
040,US
041,US
042,US
043,US
044,US
045,US
046,US
047,US
048,US
049,US
050,US
051,US
052,US
053,US
054,US
055,US
056,US
057,US
058,US
059,US
060,US
061,US
062,US
063,US
064,US
065,US
066,US
067,US
068,US
069,US
070,US
071,US
072,US
073,US
074,US
075,US
076,US
077,US
078,US
079,US
080,US
081,US
082,US
083,US
084,US
085,US
086,US
087,US
088,US
089,US
090,US
091,US
092,US
093,US
094,US
095,US
096,US
097,US
098,US
099,US
100,US
101,US
102,US
103,US
104,US
105,US
106,US
107,US
108,US
109,US
110,US
111,US
112,US
113,US
114,US
115,US
116,US
117,US
118,US
119,US
120,US
121,US
122,US
123,US
124,US
125,US
126,US
127,US
128,US
129,US
130,US
131,US
132,US
133,US
134,US
135,US
136,US
137,US
138,US
139,US
140,US
141,US
142,US
143,US
144,US
145,US
146,US
147,US
148,US
149,US
150,US
151,US
152,US
153,US
154,US
155,US
156,US
157,US
158,US
159,US
160,US
161,US
162,US
163,US
164,US
165,US
166,US
167,US
168,US
169,US
170,US
171,US
172,US
173,US
174,US
175,US
176,US
177,US
178,US
179,US
180,US
181,US
182,US
183,US
184,US
185,US
186,US
187,US
188,US
189,US
190,US
191,US
192,US
193,US
194,US
195,US
196,US
197,US
198,US
199,US
200,US
201,US
202,US
203,US
204,US
205,US
206,US
207,US
208,US
209,US
210,US
211,US
212,US
213,US
214,US
001,AT
002,AT
003,AT
004,AT
005,AT
006,AT
007,AT
008,AT
009,AT
010,AT
011,AT
012,AT
013,AT
014,AT
015,AT
016,AT
017,AT
018,AT
019,AT
020,AT
021,AT
022,AT
023,AT
024,AT
025,AT
026,AT
027,AT
028,AT
029,AT
030,AT
031,AT
032,AT
033,AT
034,AT
035,AT
036,AT
037,AT
038,AT
039,AT
040,AT
041,AT
042,AT
043,AT
044,AT
045,AT
046,AT
047,AT
048,AT
049,AT
050,AT
051,AT
052,AT
053,AT
054,AT
055,AT
056,AT
057,AT
058,AT
059,AT
060,AT
061,AT
062,AT
063,AT
064,AT
065,AT
066,AT
067,AT
068,AT
069,AT
070,AT
071,AT
072,AT
073,AT
074,AT
075,AT
076,AT
077,AT
078,AT
079,AT
080,AT
081,AT
082,AT
083,AT
084,AT
085,AT
086,AT
087,AT
088,AT
089,AT
090,AT
091,AT
092,AT
093,AT
094,AT
095,AT
096,AT
097,AT
098,AT
099,AT
100,AT
101,AT
102,AT
103,AT
104,AT
105,AT
106,AT
107,AT
108,AT
109,AT
110,AT
111,AT
112,AT
113,AT
114,AT
115,AT
116,AT
117,AT
118,AT
119,AT
120,AT
121,AT
122,AT
123,AT
124,AT
125,AT
126,AT
127,AT
128,AT
129,AT
130,AT
131,AT
132,AT
133,AT
134,AT
135,AT
136,AT
137,AT
138,AT
139,AT
140,AT
141,AT
142,AT
143,AT
144,AT
145,AT
146,AT
147,AT
148,AT
149,AT
150,AT
151,AT
152,AT
153,AT
154,AT
155,AT
156,AT
157,AT
158,AT
159,AT
160,AT
161,AT
162,AT
163,AT
164,AT
165,AT
166,AT
167,AT
168,AT
169,AT
170,AT
171,AT
172,AT
173,AT
174,AT
175,AT
176,AT
177,AT
178,AT
179,AT
180,AT
181,AT
182,AT
183,AT
184,AT
185,AT
186,AT
187,AT
188,AT
189,AT
190,AT
191,AT
192,AT
193,AT
194,AT
195,AT
196,AT
197,AT
198,AT
199,AT
200,AT
201,AT
202,AT
203,AT
204,AT
205,AT
206,AT
207,AT
208,AT
209,AT
210,AT
211,AT
212,AT
213,AT
214,AT
