group_key,abstract_sku,position
group_key_1,001,0
group_key_1,002,1
group_key_1,003,2
group_key_2,004,0
group_key_2,005,1
group_key_2,006,2
group_key_3,007,0
group_key_3,008,1
group_key_3,009,2
group_key_4,010,0
group_key_4,011,1
group_key_5,012,0
group_key_5,013,1
group_key_6,014,0
group_key_6,015,1
group_key_7,016,0
group_key_7,017,1
group_key_8,018,0
group_key_8,019,1
group_key_8,020,2
group_key_8,021,3
group_key_9,022,0
group_key_9,023,1
group_key_10,024,0
group_key_10,025,1
group_key_10,026,2
group_key_11,027,0
group_key_11,028,1
group_key_11,029,2
group_key_12,030,0
group_key_12,031,1
group_key_13,032,0
group_key_13,033,1
group_key_13,034,2
group_key_14,035,0
group_key_14,036,1
group_key_15,037,0
group_key_15,038,1
group_key_16,039,0
group_key_16,040,1
group_key_16,041,2
group_key_17,042,0
group_key_17,043,1
group_key_17,044,2
group_key_18,045,0
group_key_18,046,1
group_key_18,047,2
group_key_18,048,3
group_key_19,049,0
group_key_19,050,1
group_key_20,051,0
group_key_20,052,1
group_key_20,053,2
group_key_21,054,0
group_key_21,055,1
group_key_22,056,0
group_key_22,057,1
group_key_23,058,0
group_key_23,059,1
group_key_23,060,2
group_key_24,061,0
group_key_24,062,1
group_key_25,063,0
group_key_25,064,1
group_key_26,065,0
group_key_26,066,1
group_key_26,067,2
group_key_27,068,0
group_key_27,069,1
group_key_28,072,0
group_key_28,073,1
group_key_29,074,0
group_key_29,075,1
group_key_30,076,0
group_key_30,077,1
group_key_30,078,2
group_key_31,079,0
group_key_31,080,1
group_key_32,081,0
group_key_32,082,1
group_key_33,083,0
group_key_33,084,1
group_key_33,085,2
group_key_34,086,0
group_key_34,087,1
group_key_35,088,0
group_key_35,089,1
group_key_36,090,0
group_key_36,091,1
group_key_36,092,2
group_key_36,093,3
group_key_37,095,0
group_key_37,096,1
group_key_37,097,2
group_key_38,102,0
group_key_38,103,1
group_key_38,104,2
group_key_39,105,0
group_key_39,106,1
group_key_39,107,2
group_key_40,108,0
group_key_40,109,1
group_key_41,132,0
group_key_41,133,1
group_key_42,139,0
group_key_42,140,1
group_key_43,141,0
group_key_43,142,1
group_key_43,143,2
group_key_44,150,0
group_key_44,151,1
group_key_45,157,0
group_key_45,158,1
group_key_46,161,0
group_key_46,162,1
group_key_47,163,0
group_key_47,164,1
group_key_48,173,0
group_key_48,174,1
group_key_49,178,0
group_key_49,179,1
group_key_50,180,0
group_key_50,181,1
group_key_51,185,0
group_key_51,186,1
group_key_52,187,0
group_key_52,188,1
group_key_53,189,0
group_key_53,190,1
group_key_54,191,0
group_key_54,192,1
group_key_55,194,0
group_key_55,195,1
group_key_56,196,0
group_key_56,197,1
group_key_57,205,0
group_key_57,206,1
group_key_58,207,0
group_key_58,208,1
